"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"12 years"	"12"	1	1637640	Unreliable
	"2000"	"2000"	"13 years"	"13"	2	1617515	Unreliable
	"2000"	"2000"	"14 years"	"14"	2	1640788	Unreliable
	"2000"	"2000"	"15 years"	"15"	5	1631394	Unreliable
	"2000"	"2000"	"16 years"	"16"	24	1617405	1.484
	"2000"	"2000"	"17 years"	"17"	31	1654047	1.874
	"2000"	"2000"	"18 years"	"18"	57	1645787	3.463
	"2000"	"2000"	"19 years"	"19"	92	1670070	5.509
	"2000"	"2000"	"20 years"	"20"	90	1642253	5.480
	"2000"	"2000"	"21 years"	"21"	115	1563350	7.356
	"2000"	"2000"	"22 years"	"22"	113	1536458	7.355
	"2000"	"2000"	"23 years"	"23"	119	1500075	7.933
	"2000"	"2000"	"24 years"	"24"	125	1480840	8.441
	"2000"	"2000"	"25 years"	"25"	119	1524940	7.804
	"2000"	"2000"	"26 years"	"26"	115	1462753	7.862
	"2000"	"2000"	"27 years"	"27"	126	1524653	8.264
	"2000"	"2000"	"28 years"	"28"	108	1614374	6.690
	"2000"	"2000"	"29 years"	"29"	165	1724015	9.571
	"2000"	"2000"	"30 years"	"30"	134	1760116	7.613
	"2000"	"2000"	"31 years"	"31"	161	1638946	9.823
	"2000"	"2000"	"32 years"	"32"	172	1631324	10.544
	"2000"	"2000"	"33 years"	"33"	175	1645325	10.636
	"2000"	"2000"	"34 years"	"34"	192	1706036	11.254
	"2000"	"2000"	"35 years"	"35"	241	1849795	13.028
	"2000"	"2000"	"36 years"	"36"	239	1843654	12.963
	"2000"	"2000"	"37 years"	"37"	239	1848802	12.927
	"2000"	"2000"	"38 years"	"38"	272	1879639	14.471
	"2000"	"2000"	"39 years"	"39"	268	1893811	14.151
	"2000"	"2000"	"40 years"	"40"	315	1944078	16.203
	"2000"	"2000"	"41 years"	"41"	290	1838129	15.777
	"2000"	"2000"	"42 years"	"42"	253	1877721	13.474
	"2000"	"2000"	"43 years"	"43"	266	1815945	14.648
	"2000"	"2000"	"44 years"	"44"	292	1776318	16.438
	"2000"	"2000"	"45 years"	"45"	273	1796319	15.198
	"2000"	"2000"	"46 years"	"46"	227	1688827	13.441
	"2000"	"2000"	"47 years"	"47"	225	1664859	13.515
	"2000"	"2000"	"48 years"	"48"	191	1616389	11.816
	"2000"	"2000"	"49 years"	"49"	159	1549321	10.263
	"2000"	"2000"	"50 years"	"50"	131	1573825	8.324
	"2000"	"2000"	"51 years"	"51"	118	1502942	7.851
	"2000"	"2000"	"52 years"	"52"	107	1560570	6.856
	"2000"	"2000"	"53 years"	"53"	99	1544129	6.411
	"2000"	"2000"	"54 years"	"54"	50	1172947	4.263
	"2000"	"2000"	"55 years"	"55"	48	1190454	4.032
	"2000"	"2000"	"56 years"	"56"	36	1190407	3.024
	"2000"	"2000"	"57 years"	"57"	24	1204340	1.993
	"2000"	"2000"	"58 years"	"58"	19	1059074	Unreliable
	"2000"	"2000"	"59 years"	"59"	19	982116	Unreliable
	"2000"	"2000"	"60 years"	"60"	24	954632	2.514
	"2000"	"2000"	"61 years"	"61"	18	919537	Unreliable
	"2000"	"2000"	"62 years"	"62"	13	894255	Unreliable
	"2000"	"2000"	"63 years"	"63"	13	841367	Unreliable
	"2000"	"2000"	"64 years"	"64"	4	831216	Unreliable
	"2000"	"2000"	"65 years"	"65"	8	825858	Unreliable
	"2000"	"2000"	"66 years"	"66"	13	753757	Unreliable
	"2000"	"2000"	"67 years"	"67"	7	763416	Unreliable
	"2000"	"2000"	"68 years"	"68"	14	757898	Unreliable
	"2000"	"2000"	"69 years"	"69"	6	758103	Unreliable
	"2000"	"2000"	"70 years"	"70"	8	748431	Unreliable
	"2000"	"2000"	"71 years"	"71"	6	712375	Unreliable
	"2000"	"2000"	"72 years"	"72"	9	707472	Unreliable
	"2000"	"2000"	"73 years"	"73"	7	673350	Unreliable
	"2000"	"2000"	"74 years"	"74"	6	642760	Unreliable
	"2000"	"2000"	"75 years"	"75"	8	624795	Unreliable
	"2000"	"2000"	"76 years"	"76"	4	583597	Unreliable
	"2000"	"2000"	"77 years"	"77"	9	540245	Unreliable
	"2000"	"2000"	"78 years"	"78"	6	525419	Unreliable
	"2000"	"2000"	"79 years"	"79"	7	474058	Unreliable
	"2000"	"2000"	"80 years"	"80"	5	421352	Unreliable
	"2000"	"2000"	"81 years"	"81"	4	370070	Unreliable
	"2000"	"2000"	"82 years"	"82"	4	333840	Unreliable
	"2000"	"2000"	"83 years"	"83"	4	289997	Unreliable
	"2000"	"2000"	"84 years"	"84"	7	255550	Unreliable
	"2000"	"2000"	"85 years"	"85"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	7	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	6	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	6	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	7	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	5	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"100+ years"	"100"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	5	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"0"	2	1595212	Unreliable
	"2001"	"2001"	"1 year"	"1"	3	1539296	Unreliable
	"2001"	"2001"	"2 years"	"2"	6	1517499	Unreliable
	"2001"	"2001"	"3 years"	"3"	1	1515784	Unreliable
	"2001"	"2001"	"4 years"	"4"	1	1525118	Unreliable
	"2001"	"2001"	"5 years"	"5"	0	1562084	Unreliable
	"2001"	"2001"	"6 years"	"6"	0	1583133	Unreliable
	"2001"	"2001"	"7 years"	"7"	0	1591776	Unreliable
	"2001"	"2001"	"8 years"	"8"	1	1625588	Unreliable
	"2001"	"2001"	"9 years"	"9"	1	1657821	Unreliable
	"2001"	"2001"	"10 years"	"10"	1	1698936	Unreliable
	"2001"	"2001"	"11 years"	"11"	3	1730151	Unreliable
	"2001"	"2001"	"12 years"	"12"	0	1668160	Unreliable
	"2001"	"2001"	"13 years"	"13"	1	1647814	Unreliable
	"2001"	"2001"	"14 years"	"14"	2	1633164	Unreliable
	"2001"	"2001"	"15 years"	"15"	10	1649706	Unreliable
	"2001"	"2001"	"16 years"	"16"	31	1669023	1.857
	"2001"	"2001"	"17 years"	"17"	41	1640040	2.500
	"2001"	"2001"	"18 years"	"18"	67	1676939	3.995
	"2001"	"2001"	"19 years"	"19"	103	1681292	6.126
	"2001"	"2001"	"20 years"	"20"	116	1678400	6.911
	"2001"	"2001"	"21 years"	"21"	119	1665798	7.144
	"2001"	"2001"	"22 years"	"22"	141	1587102	8.884
	"2001"	"2001"	"23 years"	"23"	149	1544467	9.647
	"2001"	"2001"	"24 years"	"24"	122	1521472	8.019
	"2001"	"2001"	"25 years"	"25"	127	1481288	8.574
	"2001"	"2001"	"26 years"	"26"	131	1522786	8.603
	"2001"	"2001"	"27 years"	"27"	147	1475854	9.960
	"2001"	"2001"	"28 years"	"28"	151	1507576	10.016
	"2001"	"2001"	"29 years"	"29"	142	1593681	8.910
	"2001"	"2001"	"30 years"	"30"	171	1708487	10.009
	"2001"	"2001"	"31 years"	"31"	159	1755737	9.056
	"2001"	"2001"	"32 years"	"32"	174	1666940	10.438
	"2001"	"2001"	"33 years"	"33"	185	1632039	11.336
	"2001"	"2001"	"34 years"	"34"	179	1643586	10.891
	"2001"	"2001"	"35 years"	"35"	215	1691654	12.709
	"2001"	"2001"	"36 years"	"36"	216	1816476	11.891
	"2001"	"2001"	"37 years"	"37"	270	1849873	14.596
	"2001"	"2001"	"38 years"	"38"	299	1846717	16.191
	"2001"	"2001"	"39 years"	"39"	307	1869752	16.419
	"2001"	"2001"	"40 years"	"40"	318	1892976	16.799
	"2001"	"2001"	"41 years"	"41"	298	1930253	15.438
	"2001"	"2001"	"42 years"	"42"	291	1854847	15.689
	"2001"	"2001"	"43 years"	"43"	312	1862261	16.754
	"2001"	"2001"	"44 years"	"44"	293	1839110	15.932
	"2001"	"2001"	"45 years"	"45"	296	1768599	16.736
	"2001"	"2001"	"46 years"	"46"	257	1787013	14.382
	"2001"	"2001"	"47 years"	"47"	250	1711971	14.603
	"2001"	"2001"	"48 years"	"48"	221	1659652	13.316
	"2001"	"2001"	"49 years"	"49"	173	1614341	10.716
	"2001"	"2001"	"50 years"	"50"	158	1566033	10.089
	"2001"	"2001"	"51 years"	"51"	139	1562532	8.896
	"2001"	"2001"	"52 years"	"52"	107	1514295	7.066
	"2001"	"2001"	"53 years"	"53"	104	1517074	6.855
	"2001"	"2001"	"54 years"	"54"	88	1617271	5.441
	"2001"	"2001"	"55 years"	"55"	60	1186254	5.058
	"2001"	"2001"	"56 years"	"56"	40	1184995	3.376
	"2001"	"2001"	"57 years"	"57"	45	1171094	3.843
	"2001"	"2001"	"58 years"	"58"	46	1218957	3.774
	"2001"	"2001"	"59 years"	"59"	26	1067012	2.437
	"2001"	"2001"	"60 years"	"60"	18	982573	Unreliable
	"2001"	"2001"	"61 years"	"61"	19	952218	Unreliable
	"2001"	"2001"	"62 years"	"62"	15	913287	Unreliable
	"2001"	"2001"	"63 years"	"63"	12	891702	Unreliable
	"2001"	"2001"	"64 years"	"64"	20	836185	2.392
	"2001"	"2001"	"65 years"	"65"	11	817796	Unreliable
	"2001"	"2001"	"66 years"	"66"	13	814638	Unreliable
	"2001"	"2001"	"67 years"	"67"	12	746413	Unreliable
	"2001"	"2001"	"68 years"	"68"	13	744220	Unreliable
	"2001"	"2001"	"69 years"	"69"	6	737655	Unreliable
	"2001"	"2001"	"70 years"	"70"	11	730150	Unreliable
	"2001"	"2001"	"71 years"	"71"	13	731211	Unreliable
	"2001"	"2001"	"72 years"	"72"	8	690174	Unreliable
	"2001"	"2001"	"73 years"	"73"	9	680199	Unreliable
	"2001"	"2001"	"74 years"	"74"	7	652768	Unreliable
	"2001"	"2001"	"75 years"	"75"	10	614318	Unreliable
	"2001"	"2001"	"76 years"	"76"	12	595855	Unreliable
	"2001"	"2001"	"77 years"	"77"	5	556715	Unreliable
	"2001"	"2001"	"78 years"	"78"	9	516055	Unreliable
	"2001"	"2001"	"79 years"	"79"	7	486935	Unreliable
	"2001"	"2001"	"80 years"	"80"	8	447585	Unreliable
	"2001"	"2001"	"81 years"	"81"	5	397999	Unreliable
	"2001"	"2001"	"82 years"	"82"	4	336552	Unreliable
	"2001"	"2001"	"83 years"	"83"	4	309986	Unreliable
	"2001"	"2001"	"84 years"	"84"	11	261432	Unreliable
	"2001"	"2001"	"85 years"	"85"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	1	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	1	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	2	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	5	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"92 years"	"92"	2	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	1	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"96 years"	"96"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"97 years"	"97"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"98 years"	"98"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"99 years"	"99"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"100+ years"	"100"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Not Stated"	"NS"	8	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"0"	7	1573058	Unreliable
	"2002"	"2002"	"1 year"	"1"	1	1588999	Unreliable
	"2002"	"2002"	"2 years"	"2"	0	1537532	Unreliable
	"2002"	"2002"	"3 years"	"3"	0	1516877	Unreliable
	"2002"	"2002"	"4 years"	"4"	1	1517676	Unreliable
	"2002"	"2002"	"5 years"	"5"	0	1526529	Unreliable
	"2002"	"2002"	"6 years"	"6"	0	1560016	Unreliable
	"2002"	"2002"	"7 years"	"7"	0	1583649	Unreliable
	"2002"	"2002"	"8 years"	"8"	1	1592561	Unreliable
	"2002"	"2002"	"9 years"	"9"	0	1630297	Unreliable
	"2002"	"2002"	"10 years"	"10"	2	1678782	Unreliable
	"2002"	"2002"	"11 years"	"11"	1	1704022	Unreliable
	"2002"	"2002"	"12 years"	"12"	0	1740986	Unreliable
	"2002"	"2002"	"13 years"	"13"	1	1675175	Unreliable
	"2002"	"2002"	"14 years"	"14"	6	1653115	Unreliable
	"2002"	"2002"	"15 years"	"15"	14	1647659	Unreliable
	"2002"	"2002"	"16 years"	"16"	19	1667916	Unreliable
	"2002"	"2002"	"17 years"	"17"	51	1686702	3.024
	"2002"	"2002"	"18 years"	"18"	78	1661370	4.695
	"2002"	"2002"	"19 years"	"19"	147	1692829	8.684
	"2002"	"2002"	"20 years"	"20"	156	1687327	9.245
	"2002"	"2002"	"21 years"	"21"	164	1681518	9.753
	"2002"	"2002"	"22 years"	"22"	156	1663743	9.376
	"2002"	"2002"	"23 years"	"23"	166	1585776	10.468
	"2002"	"2002"	"24 years"	"24"	183	1544302	11.850
	"2002"	"2002"	"25 years"	"25"	157	1523815	10.303
	"2002"	"2002"	"26 years"	"26"	194	1475786	13.146
	"2002"	"2002"	"27 years"	"27"	167	1523151	10.964
	"2002"	"2002"	"28 years"	"28"	155	1475853	10.502
	"2002"	"2002"	"29 years"	"29"	173	1504049	11.502
	"2002"	"2002"	"30 years"	"30"	183	1604899	11.403
	"2002"	"2002"	"31 years"	"31"	218	1699067	12.831
	"2002"	"2002"	"32 years"	"32"	223	1761521	12.660
	"2002"	"2002"	"33 years"	"33"	245	1666597	14.701
	"2002"	"2002"	"34 years"	"34"	236	1631703	14.463
	"2002"	"2002"	"35 years"	"35"	236	1645961	14.338
	"2002"	"2002"	"36 years"	"36"	295	1688914	17.467
	"2002"	"2002"	"37 years"	"37"	277	1811579	15.291
	"2002"	"2002"	"38 years"	"38"	338	1845905	18.311
	"2002"	"2002"	"39 years"	"39"	330	1844374	17.892
	"2002"	"2002"	"40 years"	"40"	362	1863505	19.426
	"2002"	"2002"	"41 years"	"41"	392	1890919	20.731
	"2002"	"2002"	"42 years"	"42"	398	1925718	20.668
	"2002"	"2002"	"43 years"	"43"	362	1850973	19.557
	"2002"	"2002"	"44 years"	"44"	369	1853670	19.906
	"2002"	"2002"	"45 years"	"45"	363	1830860	19.827
	"2002"	"2002"	"46 years"	"46"	349	1765332	19.770
	"2002"	"2002"	"47 years"	"47"	321	1782922	18.004
	"2002"	"2002"	"48 years"	"48"	269	1704349	15.783
	"2002"	"2002"	"49 years"	"49"	226	1655353	13.653
	"2002"	"2002"	"50 years"	"50"	212	1604974	13.209
	"2002"	"2002"	"51 years"	"51"	202	1563628	12.919
	"2002"	"2002"	"52 years"	"52"	166	1554173	10.681
	"2002"	"2002"	"53 years"	"53"	140	1509588	9.274
	"2002"	"2002"	"54 years"	"54"	131	1511576	8.666
	"2002"	"2002"	"55 years"	"55"	100	1604385	6.233
	"2002"	"2002"	"56 years"	"56"	72	1182087	6.091
	"2002"	"2002"	"57 years"	"57"	60	1176753	5.099
	"2002"	"2002"	"58 years"	"58"	46	1163161	3.955
	"2002"	"2002"	"59 years"	"59"	38	1208334	3.145
	"2002"	"2002"	"60 years"	"60"	24	1053896	2.277
	"2002"	"2002"	"61 years"	"61"	25	975739	2.562
	"2002"	"2002"	"62 years"	"62"	26	942023	2.760
	"2002"	"2002"	"63 years"	"63"	14	903240	Unreliable
	"2002"	"2002"	"64 years"	"64"	15	878891	Unreliable
	"2002"	"2002"	"65 years"	"65"	23	823858	2.792
	"2002"	"2002"	"66 years"	"66"	17	804481	Unreliable
	"2002"	"2002"	"67 years"	"67"	13	800670	Unreliable
	"2002"	"2002"	"68 years"	"68"	14	731065	Unreliable
	"2002"	"2002"	"69 years"	"69"	4	727180	Unreliable
	"2002"	"2002"	"70 years"	"70"	13	717477	Unreliable
	"2002"	"2002"	"71 years"	"71"	5	711810	Unreliable
	"2002"	"2002"	"72 years"	"72"	12	708102	Unreliable
	"2002"	"2002"	"73 years"	"73"	9	667429	Unreliable
	"2002"	"2002"	"74 years"	"74"	6	654253	Unreliable
	"2002"	"2002"	"75 years"	"75"	11	623997	Unreliable
	"2002"	"2002"	"76 years"	"76"	10	587702	Unreliable
	"2002"	"2002"	"77 years"	"77"	3	565542	Unreliable
	"2002"	"2002"	"78 years"	"78"	9	526091	Unreliable
	"2002"	"2002"	"79 years"	"79"	9	484716	Unreliable
	"2002"	"2002"	"80 years"	"80"	10	452946	Unreliable
	"2002"	"2002"	"81 years"	"81"	6	414893	Unreliable
	"2002"	"2002"	"82 years"	"82"	12	364412	Unreliable
	"2002"	"2002"	"83 years"	"83"	3	306402	Unreliable
	"2002"	"2002"	"84 years"	"84"	3	278446	Unreliable
	"2002"	"2002"	"85 years"	"85"	3	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	2	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	7	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	6	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	6	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	7	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	1	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	2	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	4	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	6	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	2	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	2	Not Applicable	Not Applicable
	"2002"	"2002"	"97 years"	"97"	0	Not Applicable	Not Applicable
	"2002"	"2002"	"98 years"	"98"	0	Not Applicable	Not Applicable
	"2002"	"2002"	"99 years"	"99"	0	Not Applicable	Not Applicable
	"2002"	"2002"	"100+ years"	"100"	0	Not Applicable	Not Applicable
	"2002"	"2002"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
